Year,SEX,AGE,DISABILITY_STATUS,Units,Value
2019,F,Y55T64,PD,Percent,5.2
2020,F,Y55T64,PD,Percent,10.2
2021,F,Y55T64,PD,Percent,6.4
2022,F,Y55T64,PD,Percent,4.6
2023,F,Y55T64,PD,Percent,4.5
2009,F,Y55T64,PWD,Percent,5.7
2010,F,Y55T64,PWD,Percent,6.0
2011,F,Y55T64,PWD,Percent,5.8
2012,F,Y55T64,PWD,Percent,5.4
2013,F,Y55T64,PWD,Percent,4.7
2014,F,Y55T64,PWD,Percent,3.9
2015,F,Y55T64,PWD,Percent,3.3
2016,F,Y55T64,PWD,Percent,3.0
2017,F,Y55T64,PWD,Percent,2.8
2018,F,Y55T64,PWD,Percent,2.5
2019,F,Y55T64,PWD,Percent,2.5
2020,F,Y55T64,PWD,Percent,7.0
2021,F,Y55T64,PWD,Percent,4.0
2022,F,Y55T64,PWD,Percent,2.4
2023,F,Y55T64,PWD,Percent,2.2
2009,F,Y_GE65,PD,Percent,7.3
2010,F,Y_GE65,PD,Percent,9.4
2011,F,Y_GE65,PD,Percent,8.1
2012,F,Y_GE65,PD,Percent,7.4
2013,F,Y_GE65,PD,Percent,6.0
2014,F,Y_GE65,PD,Percent,6.1
2015,F,Y_GE65,PD,Percent,5.7
2016,F,Y_GE65,PD,Percent,7.4
2017,F,Y_GE65,PD,Percent,6.0
2018,F,Y_GE65,PD,Percent,4.9
2019,F,Y_GE65,PD,Percent,5.0
2020,F,Y_GE65,PD,Percent,9.6
2021,F,Y_GE65,PD,Percent,8.2
2022,F,Y_GE65,PD,Percent,5.1
2023,F,Y_GE65,PD,Percent,4.7
2009,F,Y_GE65,PWD,Percent,6.0
2010,F,Y_GE65,PWD,Percent,5.8
2011,F,Y_GE65,PWD,Percent,6.3
2012,F,Y_GE65,PWD,Percent,6.2
2013,F,Y_GE65,PWD,Percent,5.0
2014,F,Y_GE65,PWD,Percent,4.5
2015,F,Y_GE65,PWD,Percent,3.7
2016,F,Y_GE65,PWD,Percent,3.5
2017,F,Y_GE65,PWD,Percent,3.6
2018,F,Y_GE65,PWD,Percent,3.1
2019,F,Y_GE65,PWD,Percent,2.8
2020,F,Y_GE65,PWD,Percent,8.2
2021,F,Y_GE65,PWD,Percent,4.2
2022,F,Y_GE65,PWD,Percent,2.6
2023,F,Y_GE65,PWD,Percent,2.7
